py_entry_time,py_entry_price,py_exit_time,py_exit_price,py_side,py_result,py_exit_reason,py_mae,py_mfe,py_ib_range,py_tie_break,py_realized_r,py_date,py_play,py_avwap_source,py_break_vs_avwap_0930,py_trend_misaligned,py_entry_dt,nt8_side,nt8_entry_time,nt8_entry_price,nt8_exit_time,nt8_exit_price,nt8_pnl,nt8_exit_reason,nt8_entry_dt,nt8_date,nt8_dt_diff,entry_time_diff_s,entry_price_diff,exit_price_diff,result_match
2026-02-24 10:26:00-05:00,25488.5,2026-02-24 15:50:00-05:00,25580.25,LONG,1,liquidation_1550,29.0,106.25,269.75,False,0.7246,2026-02-24,1,parquet,1.0,1,2026-02-24 10:26:00-05:00,LONG,2026-02-24T10:28:00,24972.0,2026-02-24T17:00:00,25016.25,885.0,Exit on session close,2026-02-24 05:28:00-05:00,2026-02-24,17880.0,17880.0,516.5,564.0,True
2026-02-25 13:01:00-05:00,25869.75,2026-02-25 15:50:00-05:00,25905.0,LONG,1,liquidation_1550,19.5,42.75,196.5,False,0.3606,2026-02-25,1,parquet,1.0,1,2026-02-25 13:01:00-05:00,LONG,2026-02-25T13:03:00,25355.0,2026-02-25T16:32:00,25455.5,2010.0,Profit target,2026-02-25 08:03:00-05:00,2026-02-25,17880.0,17880.0,514.75,449.5,True
2026-02-27 10:05:00-05:00,25458.75,2026-02-27 10:45:00-05:00,25532.75,LONG,1,target,24.5,74.5,156.5,False,1.0,2026-02-27,1,parquet,-1.0,1,2026-02-27 10:05:00-05:00,LONG,2026-02-27T10:07:00,24942.5,2026-02-27T10:46:00,25016.75,1485.0,Profit target,2026-02-27 05:07:00-05:00,2026-02-27,17880.0,17880.0,516.25,516.0,True
2026-03-02 10:07:00-05:00,25431.25,2026-03-02 12:15:00-05:00,25561.25,LONG,1,target,73.25,146.25,293.5,False,1.0,2026-03-02,1,parquet,1.0,1,2026-03-02 10:07:00-05:00,LONG,2026-03-02T10:09:00,24914.75,2026-03-02T12:16:00,25045.25,2610.0,Profit target,2026-03-02 05:09:00-05:00,2026-03-02,17880.0,17880.0,516.5,516.0,True
2026-03-04 10:01:00-05:00,25487.75,2026-03-04 10:20:00-05:00,25558.38,LONG,1,target,80.25,80.75,144.25,False,1.0,2026-03-04,1,parquet,1.0,1,2026-03-04 10:01:00-05:00,LONG,2026-03-04T10:03:00,24971.5,2026-03-04T10:21:00,25042.5,1420.0,Profit target,2026-03-04 05:03:00-05:00,2026-03-04,17880.0,17880.0,516.25,515.880000000001,True
2026-03-05 10:00:00-05:00,25720.5,2026-03-05 10:27:00-05:00,25518.0,LONG,-1,stop,204.5,5.25,202.5,False,-2.3964,2026-03-05,1,parquet,-1.0,1,2026-03-05 10:00:00-05:00,LONG,2026-03-05T10:02:00,25203.75,2026-03-05T10:29:00,24999.0,-4095.0,Stop loss,2026-03-05 05:02:00-05:00,2026-03-05,17880.0,17880.0,516.75,519.0,True
2026-03-06 10:02:00-05:00,25285.5,2026-03-06 10:23:00-05:00,25325.38,LONG,1,target,105.0,52.5,133.75,False,1.0,2026-03-06,1,parquet,-1.0,1,2026-03-06 10:02:00-05:00,LONG,2026-03-06T10:04:00,24768.75,2026-03-06T10:24:00,24809.5,815.0,Profit target,2026-03-06 05:04:00-05:00,2026-03-06,17880.0,17880.0,516.75,515.880000000001,True
2026-03-09 10:44:00-04:00,25051.5,2026-03-09 11:25:00-04:00,25147.38,LONG,1,target,40.75,103.5,212.25,False,1.0,2026-03-09,1,parquet,1.0,1,2026-03-09 10:44:00-04:00,LONG,2026-03-09T10:46:00,24535.5,2026-03-09T11:26:00,24631.5,1920.0,Profit target,2026-03-09 06:46:00-04:00,2026-03-09,14280.0,14280.0,516.0,515.880000000001,True
2026-03-11 10:00:00-04:00,25689.5,2026-03-11 10:01:00-04:00,25681.62,LONG,1,target,82.5,6.5,100.25,False,-1.0,2026-03-11,1,parquet,1.0,1,2026-03-11 10:00:00-04:00,LONG,2026-03-11T10:03:00,25147.75,2026-03-11T10:24:00,25048.5,-1985.0,Stop loss,2026-03-11 06:03:00-04:00,2026-03-11,14220.0,14220.0,541.75,633.119999999999,False
2026-03-16 10:08:00-04:00,25254.0,2026-03-16 10:50:00-04:00,25135.25,LONG,-1,stop,128.0,18.75,118.75,False,-2.2248,2026-03-16,1,parquet,1.0,1,2026-03-16 10:08:00-04:00,LONG,2026-03-16T10:10:00,24961.0,2026-03-16T10:51:00,24842.5,-2370.0,Stop loss,2026-03-16 06:10:00-04:00,2026-03-16,14280.0,14280.0,293.0,292.75,True
